time / s,Au,Au(I)Cl2-,Au(II)Cl4^2-,Au(III)Cl4-,Au2Cl6^2-,Cl,Cl-,Cl2,Cl2-,Cl2O,Cl2O2,Cl2O3,Cl2O4,Cl3-,ClO,ClO-,ClO2,ClO2-,ClO3,ClO3-,ClOH-,H,H+,H2,H2O,H2O2,HCl,HClO,HClO2,HO2,HO2-,HO3,O,O-,O2,O2-,O3,O3-,O4,OH,OH-,eh-
8.341771996232029e-07,9.562776775334808e-08,9.645464497706614e-08,0.006457779986319479,0.0025197172447021183,0.0055111553432828616,4.064072351360347e-05,0.008667062636793918,1.2016334131447014e-06,0.000513225460363201,6.746172457229698e-36,1.3531635603629468e-14,2.0287923862253135e-26,8.242946832100664e-40,0.0002123956357171383,3.8959596240654684e-09,1.0684160770355893e-15,1.908106417121023e-20,1.7711523059043042e-16,8.346001161448825e-34,3.5666204219006605e-16,2.406766793608788e-05,0.00041129359186928787,0.025981838501222026,0.06300939356668026,55.42404571949772,0.06163973780328708,0.0006250693943629912,6.936274870123033e-10,2.369989393863468e-16,0.00122996032895516,8.478182685110379e-06,7.70849325575895e-09,5.537704240202971e-13,3.0255699575475615e-07,0.0031716052500900048,5.315261624523506e-06,8.150280789998853e-10,1.4225860037007375e-09,1.4735067867673383e-43,0.0042833095964618486,4.647259920793341e-05,4.683271875978505e-05
8.352958286205161e-07,9.60235659018984e-08,9.667562826380005e-08,0.00645161291326298,0.0025123693224247475,0.005517912532559078,4.064094701936977e-05,0.008674880014544929,1.2074861112830164e-06,0.0005136577190345984,7.019313010716724e-36,1.3772728339442375e-14,2.089905657262936e-26,8.516163464362016e-40,0.00021306511092753983,3.925987610217722e-09,1.0738204129420472e-15,1.9462353470380517e-20,1.8065526633233467e-16,8.539383644926457e-34,3.637538412032781e-16,2.408638563231747e-05,0.00041116627968364964,0.025984607005850167,0.06307857336406197,55.42391364623128,0.06169939838641993,0.0006278647971588796,6.971914327126774e-10,2.4177166280396776e-16,0.0012314607181356707,8.484637343727157e-06,7.722360152972534e-09,5.537299896800889e-13,3.0245444891770816e-07,0.0031767071776811293,5.321392337719019e-06,8.15996687726364e-10,1.4242493445763276e-09,1.5252871187367624e-43,0.004282821996360689,4.646379696085855e-05,4.682718067229325e-05
8.364144576178293e-07,9.642015439462544e-08,9.689657600326644e-08,0.0064454480959082044,0.002505044954864316,0.0055246568162485655,4.0641102989386306e-05,0.00868267341157408,1.2133453057370472e-06,0.0005140877685045073,7.302863591135252e-36,1.4017511741731777e-14,2.1527155459187772e-26,8.79785575839317e-40,0.0002137336275087156,3.956166041740512e-09,1.0792333577981326e-15,1.9850362804150085e-20,1.8425789652335208e-16,8.736860499442721e-34,3.709704727789475e-16,2.4105039139856582e-05,0.00041103865241081696,0.025987350632288964,0.06314771660968614,55.423781669441716,0.06175900877868427,0.0006306657854599857,7.007608452633529e-10,2.4662936924305556e-16,0.0012329604129443046,8.491079142955312e-06,7.736239224565271e-09,5.536895434045165e-13,3.02352652662956e-07,0.003181811337080359,5.327527191201656e-06,8.169679856851662e-10,1.4259122012737158e-09,1.578781437508217e-43,0.0042823352328511585,4.645506878014754e-05,4.682165612796393e-05
8.375330866151425e-07,9.681753229703695e-08,9.711748768696919e-08,0.006439285576364557,0.002497744065726658,0.005531388211444425,4.0641191850820474e-05,0.008690442884639667,1.2192109054195712e-06,0.0005145156151654963,7.597195370828904e-36,1.4266032100463756e-14,2.2172649585751433e-26,9.088267910795856e-40,0.00021440117754759197,3.986495124874302e-09,1.0846548692074974e-15,2.024519977515712e-20,1.8792407954705e-16,8.938509743324655e-34,3.7831381857038483e-16,2.412362703098129e-05,0.0004109107120952327,0.02599006945926302,0.06321682332294208,55.42364978904154,0.06181856902181948,0.0006334723488261433,7.04335661488608e-10,2.515733489194775e-16,0.001234459414276243,8.497528383177857e-06,7.75013049761367e-09,5.536490852244766e-13,3.0225133621947807e-07,0.0031869177285520278,5.333666258979736e-06,8.179419628547034e-10,1.4275768443090404e-09,1.6340428645632871e-43,0.004281849305558014,4.644637768486491e-05,4.681614480604681e-05
8.388024247819986e-07,9.726940252502052e-08,9.736811776024738e-08,0.006432295636882379,0.0024894878920238427,0.005539010916786771,4.06412117149746e-05,0.008699230205895202,1.2258744004445683e-06,0.0005149984442795774,7.944725392396997e-36,1.4552619998885258e-14,2.2926733190085778e-26,9.428685115028244e-40,0.0002151574838104401,4.021093065341899e-09,1.0908170575412255e-15,2.0701627596767518e-20,1.9216238978361505e-16,9.172480441325208e-34,3.8680239912843527e-16,2.4144641255258195e-05,0.0004107651582428787,0.025993124684007884,0.06329519633173178,55.42350025738936,0.06188609297400451,0.0006366637702397187,7.083985732391492e-10,2.572895666585899e-16,0.0012361595327843459,8.50483945865514e-06,7.765908107791059e-09,5.536031618467815e-13,3.021372865644088e-07,0.0031927147909306852,5.340637388108587e-06,8.190504055125752e-10,1.429466339369629e-09,1.6989589753044707e-43,0.00428129891916591,4.643659054994187e-05,4.6809907137016917e-05
8.400717629488547e-07,9.772228662336895e-08,9.761870002716336e-08,0.006425308770268816,0.002481261740447759,0.005546617074148412,4.064114621761301e-05,0.008707986875793388,1.2325458926970934e-06,0.0005154784545113631,8.307212134787526e-36,1.4844148721405574e-14,2.3704436407374195e-26,9.78102982819397e-40,0.00021591252406819597,4.055885539002592e-09,1.0969899582316534e-15,2.1167145564532254e-20,1.964852616287984e-16,9.412043671456259e-34,3.9545943243010537e-16,2.4165570091199376e-05,0.00041061920693087807,0.025996148228279694,0.06337352235446778,55.42335084954107,0.06195355250122488,0.0006398623413429981,7.124683072038772e-10,2.6312044244619204e-16,0.0012378587602571685,8.512182538672533e-06,7.781701502677736e-09,5.535572232030289e-13,3.020231696103055e-07,0.0031985147280240056,5.347614994933726e-06,8.201622639222899e-10,1.4313656096654074e-09,1.7663031466564576e-43,0.0042807496053082,4.642681775129652e-05,4.6803686012276234e-05
8.413411011157109e-07,9.817618321737911e-08,9.786923376311563e-08,0.0064183250363874945,0.0024730655005073742,0.0055542067088441,4.064099534138832e-05,0.008716712969456603,1.2392252493581845e-06,0.0005159556551215224,8.685257380748328e-36,1.5140687938039e-14,2.4506432377348353e-26,1.0145689934307287e-39,0.00021666628705039405,4.0908728346529624e-09,1.1031734693322747e-15,2.1641885400127295e-20,2.0089412079999587e-16,9.657319692935669e-34,4.0428778279098955e-16,2.418641996745445e-05,0.0004104728611133569,0.025999140296975365,0.06345180141899463,55.42320156517409,0.06202094776996595,0.0006430680467803645,7.165447714132096e-10,2.6906796839626133e-16,0.0012395571003375335,8.519480722368973e-06,7.797510721319005e-09,5.535112692848253e-13,3.019103178218417e-07,0.003204317540222081,5.354597455711955e-06,8.212775607046172e-10,1.4332657526493758e-09,1.8361603228103295e-43,0.004280201353109708,4.641720104560651e-05,4.679748236688856e-05
8.42610439282567e-07,9.863109092963961e-08,9.811971824944282e-08,0.0064113444945294,0.002464899062051394,0.005561779846305038,4.064076049376583e-05,0.008725408577683925,1.245912337649639e-06,0.0005164300553081564,9.079485032359313e-36,1.5442308028661872e-14,2.5333410824507162e-26,1.0523064812609605e-39,0.0002174187615875454,4.1260552374929144e-09,1.1093674993992913e-15,2.2126037975388442e-20,2.0539043731563834e-16,9.908430947032353e-34,4.1329037597294666e-16,2.4207180299799386e-05,0.0004103261237709306,0.02600210090945323,0.06353003355423252,55.42305240435562,0.062088278741005656,0.0006462808711625127,7.206279349528285e-10,2.751341401024996e-16,0.0012412545509899754,8.52686328725317e-06,7.813335802931973e-09,5.534653001743014e-13,3.0179678046580357e-07,0.00321012322782974,5.3615878080536115e-06,8.223962687478654e-10,1.435178653873586e-09,1.908618186279389e-43,0.004279654171978606,4.6407493576846086e-05,4.679129450306941e-05
8.428319093495673e-07,9.871056526965724e-08,9.816341688313687e-08,0.006410126883314638,0.0024634772532521024,0.005563099494725578,4.064071075915241e-05,0.008726922640010735,1.2470798617799803e-06,0.0005165125408961518,9.149974319777552e-36,1.5495459594710795e-14,2.5480311384007173e-26,1.0590241069265908e-39,0.00021754991810349098,4.132213762357024e-09,1.1104492983707469e-15,2.2211479561367864e-20,2.0618400586150762e-16,9.95285115538811e-34,4.148791893303838e-16,2.4210795610351598e-05,0.0004103004816065235,0.026002614278797437,0.06354367844081649,55.42302639184802,0.062100019878435705,0.0006468421627516548,7.213410265982825e-10,2.7620485816388265e-16,0.0012415506265655415,8.528133893888403e-06,7.816098540789029e-09,5.534572780646874e-13,3.017771780566855e-07,0.003211136480299031,5.362807581092497e-06,8.225918136179898e-10,1.4355112428228067e-09,1.9215335429408776e-43,0.004279558808515417,4.640584048229765e-05,4.6790216779761315e-05
8.430533794165677e-07,9.87900703408923e-08,9.820711399214367e-08,0.006408909371370374,0.00246205634774896,0.005564418641848192,4.064065839862483e-05,0.008728435776246025,1.2482476165407305e-06,0.0005165949415649786,9.220979392877642e-36,1.5548768378822494e-14,2.5627997814679134e-26,1.0657819103954982e-39,0.00021768103500090528,4.138378236825562e-09,1.111531421054899e-15,2.2297209512845418e-20,2.0698028575381353e-16,9.99745347182132e-34,4.1647341098205345e-16,2.4214409224555395e-05,0.0004102748276253413,0.026003126706797018,0.0635573218997126,55.423000383070644,0.06211175907496893,0.0006474036705051254,7.220543153020146e-10,2.7727926477170595e-16,0.001241846675527663,8.529393759396051e-06,7.818861762928527e-09,5.534492554876573e-13,3.017578749694664e-07,0.003212149820320053,5.364027254802125e-06,8.227874668187574e-10,1.4358424432448203e-09,1.9345313087059157e-43,0.004279463476193864,4.6404209011972516e-05,4.678913971593569e-05
