time / s,Au,Cl,O,H
0.0,0.02,0.08,55.5605101,111.1300002
1.7598458712851308e-43,0.02,0.08,55.5605101,111.1300002
3.5196917425702617e-43,0.02,0.08,55.5605101,111.1300002
1.7601978404593878e-39,0.02,0.08,55.5605101,111.1300002
3.5200437117445186e-39,0.02,0.08,55.5605101,111.1300002
5.2798895830296494e-39,0.02,0.08,55.5605101,111.1300002
2.2878348295880956e-38,0.02,0.08,55.5605101,111.1300002
4.0476807008732264e-38,0.02,0.08,55.5605101,111.1300002
5.807526572158357e-38,0.02,0.08,55.5605101,111.1300002
2.340598528500967e-37,0.02,0.08,55.5605101,111.1300002
4.100444399786098e-37,0.02,0.08,55.5605101,111.1300002
5.860290271071229e-37,0.02,0.08,55.5605101,111.1300002
2.3458748983922536e-36,0.02,0.08,55.5605101,111.1300002
4.105720769677385e-36,0.02,0.08,55.5605101,111.1300002
5.865566640962516e-36,0.02,0.08,55.5605101,111.1300002
2.3464025353813827e-35,0.02,0.08,55.5605101,111.1300002
4.1062484066665137e-35,0.02,0.08,55.5605101,111.1300002
5.866094277951643e-35,0.02,0.08,55.5605101,111.1300002
2.3464552990802952e-34,0.02,0.08,55.5605101,111.1300002
4.1063011703654265e-34,0.02,0.08,55.5605101,111.1300002
5.866147041650557e-34,0.02,0.08,55.5605101,111.1300002
2.3464605754501867e-33,0.02,0.08,55.5605101,111.1300002
4.106306446735318e-33,0.02,0.08,55.5605101,111.1300002
5.8661523180204485e-33,0.02,0.08,55.5605101,111.1300002
2.3464611030871758e-32,0.02,0.08,55.5605101,111.1300002
4.106306974372306e-32,0.02,0.08,55.5605101,111.1300002
5.866152845657437e-32,0.02,0.08,55.5605101,111.1300002
2.3464611558508747e-31,0.02,0.08,55.5605101,111.1300002
4.106307027136006e-31,0.02,0.08,55.5605101,111.1300002
5.866152898421137e-31,0.02,0.08,55.5605101,111.1300002
2.3464611611272443e-30,0.02,0.08,55.5605101,111.1300002
4.106307032412376e-30,0.02,0.08,55.5605101,111.1300002
5.866152903697506e-30,0.02,0.08,55.5605101,111.1300002
2.3464611616548807e-29,0.02,0.08,55.5605101,111.1300002
4.1063070329400125e-29,0.02,0.08,55.5605101,111.1300002
5.866152904225144e-29,0.02,0.08,55.5605101,111.1300002
2.346461161707645e-28,0.02,0.08,55.5605101,111.1300002
4.106307032992776e-28,0.02,0.08,55.5605101,111.1300002
5.866152904277907e-28,0.02,0.08,55.5605101,111.1300002
2.3464611617129212e-27,0.02,0.08,55.5605101,111.1300002
4.106307032998052e-27,0.02,0.08,55.5605101,111.1300002
5.866152904283183e-27,0.02,0.08,55.5605101,111.1300002
2.346461161713449e-26,0.02,0.08,55.5605101,111.1300002
4.10630703299858e-26,0.02,0.08,55.5605101,111.1300002
5.866152904283712e-26,0.02,0.08,55.5605101,111.1300002
2.3464611617135012e-25,0.02,0.08,55.5605101,111.1300002
4.106307032998632e-25,0.02,0.08,55.5605101,111.1300002
5.866152904283762e-25,0.02,0.08,55.5605101,111.1300002
2.3464611617135067e-24,0.02,0.08,55.5605101,111.1300002
4.106307032998637e-24,0.02,0.08,55.5605101,111.1300002
5.8661529042837674e-24,0.02,0.08,55.5605101,111.1300002
2.3464611617135075e-23,0.02,0.08,55.5605101,111.1300002
4.1063070329986377e-23,0.02,0.08,55.5605101,111.1300002
5.866152904283768e-23,0.02,0.08,55.5605101,111.1300002
2.346461161713508e-22,0.02,0.08,55.5605101,111.1300002
4.106307032998639e-22,0.02,0.08,55.5605101,111.1300002
5.86615290428377e-22,0.02,0.08,55.5605101,111.1300002
2.346461161713508e-21,0.02,0.08,55.5605101,111.1300002
4.106307032998639e-21,0.02,0.08,55.5605101,111.1300002
5.866152904283769e-21,0.02,0.08,55.5605101,111.1300002
7.6259987755689e-21,0.02,0.08,55.5605101,111.1300002
2.522445748842021e-20,0.02,0.08,55.56051010000001,111.13000020000003
4.282291620127152e-20,0.02,0.08,55.560510099999995,111.13000020000001
6.042137491412282e-20,0.02,0.08,55.560510099999995,111.1300002
7.801983362697413e-20,0.02,0.08,55.560510099999995,111.1300002
2.5400442075548725e-19,0.02,0.08,55.560510099999995,111.13000019999998
4.2998900788400035e-19,0.02,0.08,55.56051009999999,111.13000019999997
6.059735950125135e-19,0.02,0.08,55.5605101,111.1300002
7.819581821410265e-19,0.02,0.08,55.5605101,111.13000020000001
2.541804053426157e-18,0.02,0.08,55.5605101,111.1300002
4.3016499247112875e-18,0.02,0.08,55.56051009999999,111.13000019999997
6.0614957959964185e-18,0.02,0.08,55.56051009999999,111.13000019999998
7.82134166728155e-18,0.02,0.08,55.56051009999997,111.13000019999996
2.5419800380132858e-17,0.02,0.08,55.56051009999999,111.13000019999997
4.3018259092984174e-17,0.02,0.08,55.56051009999999,111.13000019999997
6.061671780583548e-17,0.02,0.08,55.560510099999995,111.13000019999997
7.821517651868679e-17,0.02,0.08,55.56051009999997,111.13000019999996
9.581363523153808e-17,0.02,0.08,55.56051009999998,111.1300002
2.7179822236005117e-16,0.02,0.08,55.560510099999995,111.1300002
4.477828094885644e-16,0.020000000000000004,0.08000000000000002,55.56051009999998,111.13000019999998
6.237673966170772e-16,0.020000000000000004,0.08000000000000002,55.5605101,111.13000019999998
7.997519837455903e-16,0.020000000000000004,0.08000000000000002,55.56051009999998,111.13000019999998
9.757365708741034e-16,0.02,0.08,55.5605101,111.1300002
2.7355824421592347e-15,0.020000000000000004,0.08000000000000002,55.560510099999995,111.13000019999997
4.495428313444364e-15,0.02,0.08,55.560510099999995,111.1300002
6.255274184729496e-15,0.02,0.08,55.56051010000001,111.1300002
8.015120056014626e-15,0.020000000000000004,0.08000000000000002,55.560510099999995,111.1300002
9.774965927299759e-15,0.020000000000000004,0.08000000000000002,55.5605101,111.13000020000001
1.153481179858489e-14,0.020000000000000004,0.08000000000000002,55.560510100000016,111.13000020000003
